Name,Platform,Year,Genre,Publisher,NA_,EU_,JP_,Other_,Global_,C_Score,U_Score,Rating
WorldSoccerWinningEleven6International,PS2,2002,Sports,Konami Digital Entertainment,0.57,6,5.52,2.14,14.24,93,9.1,E
Burnout3:Takedown,PS2,2004,Racing,Electronic Arts,6.47,5.84,0,1.79,14.11,93,9.1,T
MassEffect3,PS3,2012,Role-Playing,Electronic Arts,5.73,5.09,0.27,1.82,12.91,93,5.5,M
GrandTheftAuto:SanAndreas,XB,2005,Action,Take-Two Interactive,7,3.39,0,0.5,10.83,93,8.6,AO
Persona4:Golden,PSV,2012,Role-Playing,Atlus,3.27,2.09,3.45,1.36,10.18,93,9.2,M
GrandTheftAuto:ChinatownWars,DS,2009,Action,Take-Two Interactive,4.14,4,0.36,1,9.43,93,8.3,M
TheWitcher3:WildHunt,PC,2015,Role-Playing,Namco Bandai Games,2.63,5.75,0,0.63,9,93,9.3,M
SSX3,PS2,2003,Sports,Electronic Arts,4.65,2.6,0,1.1,8.35,93,9.1,E
MetalGearSolidV:ThePhantomPain,PS3,2015,Action,Konami Digital Entertainment,2.75,1.63,2.75,0.88,8,93,7.2,M
TomClancy'sSplinterCell:PandoraTomorrow,XB,2004,Action,Ubisoft,4.32,3.11,0,0.37,7.79,93,8.6,T
SoulCaliburII,GC,2003,Fighting,Namco Bandai Games,4.95,1.6,0.55,0.4,7.5,93,9.1,T
SSX,PS2,2000,Sports,Electronic Arts,3.39,2.65,0.26,0.87,7.22,93,8.3,E
RockBand3,X360,2010,Misc,MTV Games,5.62,0.69,0,0.46,6.77,93,8.2,T
NFL2K3,PS2,2002,Sports,Atari,5.05,0.38,0,0.86,6.29,93,7.4,E
Command&Conquer:RedAlert2,PC,2000,Strategy,Electronic Arts,5.74,0.09,0,0,5.83,93,,
GrandTheftAuto:SanAndreas,PC,2005,Action,Take-Two Interactive,0,5.17,0,0.22,5.39,93,8.9,M
Castlevania:SymphonyoftheNight,PS,1997,Platform,Konami Digital Entertainment,2.23,1.54,0.81,0.31,4.88,93,9.4,T
StreetFighterAlpha3,PS,1998,Fighting,Virgin Interactive,1.52,0.48,2.04,0.08,4.12,93,8.5,T
MetalGearSolid:TheLegacyCollection,PS3,2013,Adventure,Konami Digital Entertainment,3.1,0.1,0.3,0.6,4,93,9,M
Okami,PS2,2006,Action,Capcom,0.65,0.18,0.88,2,3.71,93,9.3,T
VirtuaFighter4:Evolution,PS2,2003,Fighting,Sega,1.75,1.35,0,0.45,3.55,93,9,T
ViewtifulJoe,GC,2003,Action,Capcom,1.9,0.5,0.6,0.1,3.1,93,8.3,T
TonyHawk'sProSkater3,XB,2002,Sports,Activision,1.62,0.86,0,0.1,2.62,93,8.4,T
OdinSphere:Leifthrasir,PSV,2016,Role-Playing,Nippon Ichi Software,0.29,0.29,1.29,0.14,2,93,7.9,T
WipEoutXL,PS,1996,Racing,Psygnosis,0.52,0.37,0,0.07,0.93,93,8.7,
